2019-07-21 15:14:55 status half-installed gzip:armhf 1.9-3
2019-07-21 15:14:55 status unpacked gzip:armhf 1.9-3
2019-07-21 15:14:55 install hostname:armhf <none> 3.21
2019-07-21 15:14:55 status half-installed hostname:armhf 3.21
2019-07-21 15:14:55 status unpacked hostname:armhf 3.21
2019-07-21 15:14:55 install init-system-helpers:all <none> 1.56+nmu1
2019-07-21 15:14:55 status half-installed init-system-helpers:all 1.56+nmu1
2019-07-21 15:14:55 status unpacked init-system-helpers:all 1.56+nmu1
2019-07-21 15:14:55 install libcap-ng0:armhf <none> 0.7.9-2
2019-07-21 15:14:55 status half-installed libcap-ng0:armhf 0.7.9-2
2019-07-21 15:14:55 status unpacked libcap-ng0:armhf 0.7.9-2
2019-07-21 15:14:56 install libffi6:armhf <none> 3.2.1-9
2019-07-21 15:14:56 status half-installed libffi6:armhf 3.2.1-9
2019-07-21 15:14:56 status unpacked libffi6:armhf 3.2.1-9
2019-07-21 15:14:56 install libgcrypt20:armhf <none> 1.8.4-5
2019-07-21 15:14:56 status half-installed libgcrypt20:armhf 1.8.4-5
2019-07-21 15:14:56 status unpacked libgcrypt20:armhf 1.8.4-5
2019-07-21 15:14:56 install libgpg-error0:armhf <none> 1.35-1
2019-07-21 15:14:56 status half-installed libgpg-error0:armhf 1.35-1
2019-07-21 15:14:56 status unpacked libgpg-error0:armhf 1.35-1
2019-07-21 15:14:56 install libidn2-0:armhf <none> 2.0.5-1
2019-07-21 15:14:56 status half-installed libidn2-0:armhf 2.0.5-1
2019-07-21 15:14:56 status unpacked libidn2-0:armhf 2.0.5-1
2019-07-21 15:14:57 install libseccomp2:armhf <none> 2.3.3-4
2019-07-21 15:14:57 status half-installed libseccomp2:armhf 2.3.3-4
2019-07-21 15:14:57 status unpacked libseccomp2:armhf 2.3.3-4
2019-07-21 15:14:57 install libselinux1:armhf <none> 2.8-1+b1
2019-07-21 15:14:57 status half-installed libselinux1:armhf 2.8-1+b1
2019-07-21 15:14:57 status unpacked libselinux1:armhf 2.8-1+b1
2019-07-21 15:14:57 install libsemanage-common:all <none> 2.8-2
2019-07-21 15:14:57 status half-installed libsemanage-common:all 2.8-2
2019-07-21 15:14:57 status unpacked libsemanage-common:all 2.8-2
2019-07-21 15:14:57 install libsemanage1:armhf <none> 2.8-2
2019-07-21 15:14:57 status half-installed libsemanage1:armhf 2.8-2
2019-07-21 15:14:57 status unpacked libsemanage1:armhf 2.8-2
2019-07-21 15:14:58 install libsepol1:armhf <none> 2.8-1
2019-07-21 15:14:58 status half-installed libsepol1:armhf 2.8-1
2019-07-21 15:14:58 status unpacked libsepol1:armhf 2.8-1
2019-07-21 15:14:58 install libtasn1-6:armhf <none> 4.13-3
2019-07-21 15:14:58 status half-installed libtasn1-6:armhf 4.13-3
2019-07-21 15:14:58 status unpacked libtasn1-6:armhf 4.13-3
2019-07-21 15:14:58 install libunistring2:armhf <none> 0.9.10-1
2019-07-21 15:14:58 status half-installed libunistring2:armhf 0.9.10-1
2019-07-21 15:14:58 status unpacked libunistring2:armhf 0.9.10-1
2019-07-21 15:14:58 install libzstd1:armhf <none> 1.3.8+dfsg-3
2019-07-21 15:14:58 status half-installed libzstd1:armhf 1.3.8+dfsg-3
